epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,514.852,1.57287,4.31687,1.94356,0,0,0,0,1.16851,4.79524,1.98952,0.000225,7.5e-05,0.000225,7.5e-05,0.000225,7.5e-05,0.000225,7.5e-05
2,1239.21,1.46144,4.28326,1.86516,0,0,0,0,1.15788,4.78678,1.95105,0.000455793,0.000151931,0.000455793,0.000151931,0.000455793,0.000151931,0.000455793,0.000151931
3,1796.81,1.37065,4.22359,1.79642,0.00204,0.00446,0.00121,0.00036,1.15423,4.74184,1.92186,0.000677082,0.000225694,0.000677082,0.000225694,0.000677082,0.000225694,0.000677082,0.000225694
4,2292.28,1.36471,4.21449,1.78982,0.01854,0.20563,0.02579,0.01364,1.13005,4.74732,1.87171,0.000888867,0.000296289,0.000888867,0.000296289,0.000888867,0.000296289,0.000888867,0.000296289
5,2754.26,1.30101,4.15951,1.71836,0.01165,0.41761,0.02762,0.01273,1.13503,4.72525,1.84236,0.00109115,0.000363716,0.00109115,0.000363716,0.00109115,0.000363716,0.00109115,0.000363716
6,3009.74,1.24349,4.17971,1.66573,0.00754,0.75446,0.04244,0.02299,1.12921,4.6629,1.79062,0.00128392,0.000427975,0.00128392,0.000427975,0.00128392,0.000427975,0.00128392,0.000427975
7,3357.35,1.20821,4.14995,1.64282,0.0074,0.8497,0.04537,0.02321,1.10064,4.66495,1.74773,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406
8,3565.83,1.17766,4.05978,1.6046,0.00577,0.77827,0.05052,0.02668,1.11376,4.62278,1.76241,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307
9,3740.13,1.1588,4.04723,1.57391,0.00551,0.7872,0.04894,0.02767,1.12473,4.59288,1.7435,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208
10,3913.2,1.13529,4.01515,1.55798,0.00526,0.75893,0.06342,0.03599,1.12579,4.53608,1.74956,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109
11,4145.65,1.15007,4.02996,1.54803,0.00575,0.81642,0.08093,0.04394,1.10672,4.48743,1.73011,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
12,4331.71,1.09724,3.91396,1.52101,0.00595,0.89232,0.1241,0.07649,1.07512,4.44557,1.70705,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911
13,4539.45,1.13817,3.93545,1.56125,0.00614,0.90327,0.15966,0.09728,1.05957,4.38455,1.68915,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812
14,4762.75,1.07743,3.86656,1.46229,0.94254,0.04762,0.13605,0.08069,1.05808,4.30991,1.67351,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713
15,4938.32,1.05106,3.80852,1.47296,0.94029,0.05952,0.12487,0.07362,1.05223,4.24197,1.64685,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614
16,5109.32,1.10325,3.77471,1.51824,0.91988,0.06845,0.15197,0.08029,1.04705,4.18686,1.64799,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515
17,5287.59,1.04692,3.74611,1.47951,0.84403,0.08185,0.14377,0.08321,1.07014,4.14682,1.66463,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416
18,5464.55,1.05486,3.67509,1.48606,0.78661,0.10565,0.13474,0.07905,1.09923,4.11923,1.69154,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317
19,5644.96,1.05665,3.64221,1.47331,0.78488,0.10565,0.1299,0.07405,1.14567,4.07461,1.72415,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218
20,5824.59,1.05203,3.59497,1.47474,0.73637,0.10875,0.14245,0.07716,1.16095,4.04595,1.73907,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119
21,6002.54,1.0281,3.54451,1.4853,0.74771,0.12364,0.15272,0.08922,1.1465,4.01581,1.70611,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302
22,6199.79,1.07245,3.50837,1.46848,0.75871,0.14637,0.1711,0.10092,1.14741,3.96854,1.70268,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921
23,6429.44,1.0404,3.45299,1.47195,0.77548,0.18858,0.17968,0.10995,1.14295,3.88022,1.70252,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822
24,6677.15,1.04464,3.42621,1.46876,0.7756,0.16515,0.19004,0.12637,1.13913,3.80014,1.69902,0.0008169,0.0002723,0.0008169,0.0002723,0.0008169,0.0002723,0.0008169,0.0002723
25,6896.63,1.09271,3.45477,1.50557,0.85963,0.15287,0.19417,0.13187,1.14036,3.73911,1.70765,0.0007872,0.0002624,0.0007872,0.0002624,0.0007872,0.0002624,0.0007872,0.0002624
26,7092.55,1.01277,3.34986,1.4479,0.89326,0.15668,0.19985,0.13668,1.14424,3.68292,1.71403,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525
27,7415.69,1.05769,3.2983,1.47411,0.89724,0.13244,0.19901,0.14045,1.16517,3.62512,1.72474,0.0007278,0.0002426,0.0007278,0.0002426,0.0007278,0.0002426,0.0007278,0.0002426
28,7628.82,1.09535,3.33881,1.49604,0.92114,0.11987,0.2004,0.14133,1.15428,3.59156,1.72445,0.0006981,0.0002327,0.0006981,0.0002327,0.0006981,0.0002327,0.0006981,0.0002327
29,7845.42,1.03699,3.32185,1.48165,0.91764,0.14244,0.2039,0.14562,1.15943,3.56367,1.73036,0.0006684,0.0002228,0.0006684,0.0002228,0.0006684,0.0002228,0.0006684,0.0002228
30,8073.84,0.99278,3.15907,1.43851,0.86841,0.15557,0.21801,0.15199,1.14636,3.57631,1.71738,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129
31,8251.69,1.06317,3.25604,1.50255,0.8856,0.15192,0.21699,0.15091,1.14702,3.57383,1.71596,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203
32,8481.33,1.07083,3.12395,1.47932,0.89119,0.15599,0.22229,0.1552,1.13947,3.56352,1.70482,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931
33,8661.44,1.04067,3.09734,1.46989,0.88987,0.15,0.21969,0.15202,1.14927,3.56568,1.71416,0.0005496,0.0001832,0.0005496,0.0001832,0.0005496,0.0001832,0.0005496,0.0001832
34,8878.44,1.0582,3.09296,1.45322,0.88655,0.13574,0.21707,0.14761,1.14285,3.57974,1.7206,0.0005199,0.0001733,0.0005199,0.0001733,0.0005199,0.0001733,0.0005199,0.0001733
35,9142.7,1.034,3.11637,1.472,0.83876,0.16585,0.21771,0.14233,1.15644,3.57208,1.7313,0.0004902,0.0001634,0.0004902,0.0001634,0.0004902,0.0001634,0.0004902,0.0001634
36,9335.17,1.00697,3.05147,1.43363,0.88627,0.12716,0.23076,0.1507,1.15999,3.58569,1.7334,0.0004605,0.0001535,0.0004605,0.0001535,0.0004605,0.0001535,0.0004605,0.0001535
37,9520.26,1.0453,3.05294,1.42523,0.88964,0.13289,0.23325,0.15202,1.15164,3.59599,1.72809,0.0004308,0.0001436,0.0004308,0.0001436,0.0004308,0.0001436,0.0004308,0.0001436
38,9914.77,1.02802,3.07305,1.46386,0.88878,0.13709,0.23551,0.15159,1.15148,3.59008,1.73046,0.0004011,0.0001337,0.0004011,0.0001337,0.0004011,0.0001337,0.0004011,0.0001337
39,10170.5,1.05565,3.02526,1.45243,0.88724,0.13795,0.23709,0.1518,1.15063,3.57644,1.73524,0.0003714,0.0001238,0.0003714,0.0001238,0.0003714,0.0001238,0.0003714,0.0001238
40,10716.8,1.08241,3.08951,1.48655,0.85918,0.15784,0.2314,0.14969,1.15085,3.5629,1.74242,0.0003417,0.0001139,0.0003417,0.0001139,0.0003417,0.0001139,0.0003417,0.0001139
41,10911.4,1.12545,3.60261,1.67896,0.86947,0.14847,0.25538,0.15527,1.17998,3.58876,1.74684,0.000312,0.000104,0.000312,0.000104,0.000312,0.000104,0.000312,0.000104
42,11127,1.05247,3.38066,1.60492,0.89297,0.13609,0.25862,0.15962,1.19771,3.58461,1.75313,0.0002823,9.41e-05,0.0002823,9.41e-05,0.0002823,9.41e-05,0.0002823,9.41e-05
43,11313.4,0.99425,3.37753,1.54264,0.88786,0.13399,0.26395,0.15818,1.21311,3.55917,1.77802,0.0002526,8.42e-05,0.0002526,8.42e-05,0.0002526,8.42e-05,0.0002526,8.42e-05
44,11484.2,1.06319,3.47531,1.63088,0.87464,0.13163,0.25003,0.1486,1.22102,3.55585,1.7881,0.0002229,7.43e-05,0.0002229,7.43e-05,0.0002229,7.43e-05,0.0002229,7.43e-05
45,11657.7,1.05085,3.42904,1.6001,0.87878,0.13163,0.25622,0.1531,1.21955,3.5562,1.79011,0.0001932,6.44e-05,0.0001932,6.44e-05,0.0001932,6.44e-05,0.0001932,6.44e-05
46,11932.2,1.01292,3.38547,1.59226,0.89035,0.13609,0.24834,0.14914,1.21766,3.55247,1.79233,0.0001635,5.45e-05,0.0001635,5.45e-05,0.0001635,5.45e-05,0.0001635,5.45e-05
